EXPEDIENTE,ADMINISTRADO,UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,TEMA,INCUMPLIMIENTO,RESOLUCION,MULTA,AMONESTACION_ESCRITA,REMOCION,ARCHIVO,MEDIDA_CORRECTIVA,ANIO,MES,FECHA_CORTE
118-2022-PAS,EPSEL SA,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,Operacionales ,No implementar MC,127-2023-SUNASS-DS,4.24,0,0,0,0,2023,202305,20231031
PAS-008-2022-SUNASS-ODS-AYA,SEDA AYACUCHO SA,50101,AYACUCHO,HUAMANGA,AYACUCHO,Fondos y/o reservas,No implementar MC,128-2023-SUNASS-DS,0,0,0,1,0,2023,202305,20231031
PAS-0004-2022-SUNASS-ODS-HUR,EPS CHAVIN SA,20101,ANCASH,HUARAZ,HUARAZ,Comercial,No implementar MC,129-2023-SUNASS-DS,0,0,0,1,0,2023,202305,20231031
121-2022-PAS,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Operacionales ,No implementar MC,130-2023-SUNASS-DS,1.4,0,0,0,0,2023,202306,20231031
PAS-0004-2022-SUNASS-ODS-TAC,EPS TACNA SA,230101,TACNA,TACNA,TACNA,Supervisión,"Numeral 29 (información inexacta), item F del Anexo 4",131-2023-SUNASS-DS,0,0,0,1,0,2023,202306,20231031
PAS-007-2022-SUNASS-ODS-LAM,EPSEL SA,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,Operacionales ,No implementar MC,132-2023-SUNASS-DS,1.29,0,0,0,0,2023,202306,20231031
124-2022-PAS,EPS BARRANCA SA,150201,LIMA,BARRANCA,BARRANCA,Operacionales (PTAR),No implementar MC,133-2023-SUNASS-DS,5.33,0,0,0,0,2023,202306,20231031
120-2022-PAS,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Operacionales ,No implementar MC,134-2023-SUNASS-DS,0.13,0,0,0,0,2023,202306,20231031
PAS-0008-2022-SUNASS-ODS-LAM,EPSEL SA,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,Supervisión,"Numeral 30, item F del Anexo 4",135-2023-SUNASS-DS,15,0,0,0,0,2023,202306,20231031
119-2022-PAS,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Operacionales ,No implementar MC,136-2023-SUNASS-DS,2.03,0,0,0,0,2023,202306,20231031
123-2022-PAS,EPSEL SA,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,Operacionales ,No implementar MC,137-2023-SUNASS-DS,0.01,0,0,0,0,2023,202306,20231031
134-2022-PAS,EPS SEDA HUANUCO SA,100101,HUANUCO,HUANUCO,HUANUCO,Supervisión,"Numeral 30, item F del Anexo 4",138-2023-SUNASS-DS,0,1,0,0,0,2023,202306,20231031
PAS-009-2022-SUNASS-ODS-JUN,EPS SEDAM HUANCAYO SA,120101,JUNIN,HUANCAYO,HUANCAYO,Regulatorio (PMO),No implementar MC,139-2023-SUNASS-DS,0.53,0,0,0,0,2023,202306,20231031
131-2022-PAS,EPSEL SA,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,Operacionales ,No implementar MC,140-2023-SUNASS-DS,0,0,0,1,0,2023,202306,20231031
PAS-001-2023-SUNASS-ODS-JUN,EMSAPA YAULI LA OROYA SRL,120801,JUNIN,YAULI,LA OROYA,Operacionales ,No implementar MC,141-2023-SUNASS-DS,0,0,0,1,0,2023,202306,20231031
PAS-006-2022-SUNASS-ODS-LAM,EPSEL SA,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,Operacionales ,No implementar MC,142-2023-SUNASS-DS,0.17,0,0,0,0,2023,202306,20231031
PAS-0003-2022-SUNASS-ODS-PAS,EMAPA PASCO SA,190113,PASCO,PASCO,YANACANCHA,Metas de gestión,ICG menor al 85% e ICI a nivel de EPS y localidad menores al 80%,143-2023-SUNASS-DS,0.88,0,0,0,0,2023,202306,20231031
PAS-021-2022-SUNASS-ODS-PIU,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Operacionales ,No implementar MC,144-2023-SUNASS-DS,81.68,0,0,0,0,2023,202306,20231031
PAS 001-2022-SUNASS-ODS-HUN,EPS SEDA HUANUCO SA,100101,HUANUCO,HUANUCO,HUANUCO,Supervisión,"Numeral 30, item F del Anexo 4",145-2023-SUNASS-DS,10,0,0,0,0,2023,202306,20231031
129-2022-PAS,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Operacionales ,No implementar MC,146-2023-SUNASS-DS,0.01,0,0,0,0,2023,202306,20231031
125-2022-PAS,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Cobros en exceso,No implementar MC,147-2023-SUNASS-DS,0.15,0,0,0,1,2023,202306,20231031
133-2022-PAS,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Supervisión,"Numeral 30, item F del Anexo 4",148-2023-SUNASS-DS,15,0,0,0,0,2023,202306,20231031
126-2022-PAS,EPSEL SA,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,Operacionales ,No implementar MC,149-2023-SUNASS-DS y 154-2023-SUNASS-DS,0,0,0,1,0,2023,202306,20231031
111-2022-PAS,Martín Royci Soto Romero (Gte Gral EPS MOQUEGUA SA),180101,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,Buen gobierno corporativo,Numeral 64 del item L del Anexo N° 4,150-2023-SUNASS-DS,0,0,0,0,0,2023,202306,20231031
PAS-024-2022-SUNASS-ODS-PIU,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Supervisión,"Numeral 30, item F del Anexo 4",151-2023-SUNASS-DS,15,0,0,0,0,2023,202306,20231031
PAS-020-2022-SUNASS-ODS-PIU,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Operacionales ,No implementar MC,152-2023-SUNASS-DS,0.01,0,0,0,0,2023,202306,20231031
PAS-005-2022-SUNASS-ODS-PUN,EMAPA Y SRL ,210101,PUNO,PUNO,PUNO,Supervisión,"Numeral 30, item F del Anexo 4",153-2023-SUNASS-DS,0,1,0,0,0,2023,202306,20231031
126-2022-PAS,EPSEL SA,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,Rectificación de error material,Resolución 149-2023-SUNASS-DS,154-2023-SUNASS-DS,0,0,0,0,0,2023,202306,20231031
127-2022-PAS,EMAPA HUARAL SA,150601,LIMA,HUARAL,HUARAL,VMA,Numerales 55 y 61 del item K del Anexo 4,155-2023-SUNASS-DS,5.88,0,0,0,0,2023,202306,20231031
PAS-0022-2022-SUNASS-ODS-PIU,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Operacionales ,No implementar MC,156-2023-SUNASS-DS,13.08,0,0,0,0,2023,202306,20231031
128-2022-PAS,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Operacionales ,No implementar MC,157-2023-SUNASS-DS,0.02,0,0,0,0,2023,202306,20231031
132-2022-PAS,EPS BARRANCA SA,150201,LIMA,BARRANCA,BARRANCA,Comercial,No implementar MC,158-2023-SUNASS-DS,0,0,0,1,0,2023,202306,20231031
130-2022-PAS,EMSAPUNO SA,210101,PUNO,PUNO,PUNO,Operacionales (PTAR),No implementar MC,159-2023-SUNASS-DS,18.83,0,0,0,0,2023,202306,20231031
